ax,ay,az,gx,gy,gz
-0.852, -0.689, -1.847, -58.167, -162.415, -147.095
-1.019, -0.917, -1.748, -58.655, -199.829, -138.916
-1.223, -1.095, -1.578, -62.073, -236.023, -129.089
-1.436, -1.368, -1.431, -73.730, -268.860, -120.422
-1.677, -1.823, -1.255, -86.975, -301.025, -111.450
-1.923, -2.315, -1.010, -111.816, -332.397, -95.947
-2.185, -3.078, -0.152, -129.150, -363.525, -74.402
-2.425, -3.537, 0.750, -106.567, -386.230, -39.185
-2.531, -3.989, 1.741, -99.915, -396.790, 5.432
-2.653, -4.000, 2.633, -99.792, -392.883, 59.509
-2.714, -3.861, 3.141, -88.928, -374.756, 117.126
-2.770, -3.500, 3.190, -85.571, -345.276, 172.485
-2.825, -3.152, 3.275, -76.233, -317.993, 218.262
-2.988, -2.921, 3.520, -52.673, -296.326, 255.859
-3.098, -2.698, 3.879, -24.475, -275.452, 290.894
-3.155, -2.369, 4.000, 10.437, -252.197, 325.378
-3.251, -2.147, 4.000, 34.180, -225.769, 353.699
-3.324, -1.843, 4.000, 43.579, -194.153, 380.615
-3.406, -1.335, 4.000, 56.580, -157.471, 407.959
-3.455, -0.732, 4.000, 65.735, -117.859, 431.213
-3.475, -0.109, 4.000, 74.219, -76.843, 445.007
-3.443, 0.450, 4.000, 73.303, -35.645, 449.219
-3.387, 0.986, 4.000, 71.045, 4.639, 445.984
-3.274, 1.594, 4.000, 65.247, 41.870, 436.890
-3.138, 2.188, 4.000, 55.481, 75.073, 419.373
-2.903, 2.912, 4.000, 39.612, 107.849, 394.409
-2.604, 3.608, 3.882, 26.245, 137.939, 360.046
-2.297, 3.960, 3.598, 12.573, 165.283, 310.730
-2.066, 3.727, 3.333, -7.935, 190.857, 250.854
-1.941, 3.108, 3.147, -35.950, 214.966, 192.688
-1.904, 2.380, 3.066, -61.340, 237.793, 143.311
-1.927, 1.641, 3.083, -80.322, 260.315, 106.384
-2.007, 1.011, 3.003, -89.294, 285.400, 80.261
-2.114, 0.615, 2.651, -88.501, 312.561, 64.758
-2.161, 0.495, 2.016, -89.417, 337.463, 56.152
-2.120, 0.818, 1.279, -81.055, 353.821, 52.063
-2.066, 0.843, 1.067, -49.194, 358.215, 41.443
-1.966, 1.150, 0.598, -23.804, 359.314, 28.137
-1.862, 0.955, 0.366, -41.626, 354.797, 6.042
-1.780, 0.827, 0.101, -63.782, 347.473, -12.268
-1.664, 0.526, -0.133, -94.360, 338.257, -33.875
-1.513, 0.102, -0.382, -118.225, 325.989, -52.002
-1.352, -0.193, -0.607, -131.409, 308.899, -64.453
-1.189, -0.376, -0.575, -137.573, 286.682, -70.068
-1.041, -0.479, -0.374, -132.935, 264.587, -71.533
-0.945, -0.544, -0.233, -118.042, 247.803, -71.350
-0.798, -0.623, -0.111, -96.924, 235.291, -68.970
-0.757, -0.602, -0.153, -76.538, 226.196, -62.805
-0.667, -0.431, -0.262, -75.745, 218.323, -54.932
-0.591, -0.120, -0.328, -83.191, 208.252, -50.598
-0.494, 0.008, -0.411, -96.619, 197.449, -54.016
-0.398, -0.122, -0.471, -105.347, 185.242, -62.805
-0.323, -0.299, -0.497, -101.440, 171.570, -68.420
-0.243, -0.444, -0.482, -86.792, 157.959, -67.993
-0.183, -0.422, -0.548, -71.472, 145.386, -63.721
-0.111, -0.461, -0.511, -66.711, 132.019, -59.937
-0.058, -0.434, -0.422, -57.312, 118.774, -55.603
-0.030, -0.398, -0.298, -51.514, 107.605, -51.147
-0.007, -0.329, -0.175, -50.781, 98.755, -46.753
0.010, -0.262, -0.005, -55.237, 92.102, -43.823
0.022, -0.246, 0.129, -61.218, 88.196, -42.358
0.036, -0.274, 0.205, -68.237, 87.402, -41.199
0.018, -0.397, 0.207, -71.045, 88.440, -39.856
0.025, -0.469, 0.090, -70.984, 90.637, -36.133
0.018, -0.558, -0.044, -66.589, 90.820, -30.884
0.032, -0.623, -0.206, -53.467, 88.989, -22.705
0.048, -0.586, -0.362, -43.213, 84.229, -12.573
0.124, -0.493, -0.475, -40.527, 76.599, -3.357
0.052, -0.350, -0.568, -49.988, 67.627, 2.808
0.083, -0.208, -0.806, -43.274, 57.800, 7.996
0.050, -0.211, -1.128, -14.221, 44.067, 11.353
0.071, 0.485, -1.466, -16.296, 24.780, 12.451
0.087, 0.329, -1.690, -18.066, -3.967, -4.517
0.014, 0.218, -1.978, -26.978, -33.325, -13.855
0.070, 0.075, -1.876, -43.823, -67.505, -23.987
-0.023, -0.122, -2.104, -48.157, -99.609, -26.001
-0.078, 0.009, -2.554, -65.247, -131.775, -22.522
-0.257, 0.159, -2.955, -74.219, -172.791, -19.714
-0.476, 0.288, -3.453, -64.514, -222.656, -21.362
-0.865, 0.334, -3.826, -37.964, -283.020, -26.550
-1.437, 0.318, -3.787, -11.475, -353.821, -34.424
-2.165, 0.241, -3.316, 2.502, -427.551, -43.640
-2.922, 0.287, -2.416, 5.127, -496.216, -50.232
-3.655, 0.334, -1.355, 14.709, -554.382, -57.617
-4.000, 0.429, -0.216, 34.424, -598.572, -67.627
-4.000, 0.259, 1.014, 48.950, -628.113, -85.632
-4.000, 0.451, 2.302, 15.625, -643.616, -103.333
-4.000, -0.072, 3.995, -57.251, -644.592, -121.460
-3.953, -0.728, 4.000, -97.656, -617.310, -128.235
-3.185, -1.399, 4.000, -89.905, -553.528, -116.577
-2.317, -2.077, 4.000, -72.388, -460.510, -89.294
-1.650, -2.142, 4.000, -41.321, -352.905, -49.744
-1.199, -1.906, 4.000, 0.061, -248.657, -8.972
-0.925, -1.258, 4.000, 13.550, -168.335, 24.048
-0.785, -0.501, 3.753, 9.827, -116.943, 44.495
-0.656, 0.061, 2.948, 0.549, -85.266, 50.049
-0.597, 0.381, 2.466, -12.268, -66.406, 43.701
-0.533, 0.411, 2.134, -17.212, -54.810, 31.006
-0.491, 0.194, 1.875, -14.832, -47.302, 19.165
-0.463, -0.031, 1.656, -7.019, -42.542, 12.146
-0.442, -0.116, 1.479, -0.732, -40.100, 12.329
-0.412, -0.014, 1.370, 7.324, -39.917, 16.602
-0.394, 0.160, 1.389, 14.893, -40.710, 19.226
-0.384, 0.321, 1.574, 17.639, -41.016, 18.311
-0.401, 0.501, 1.804, 14.832, -38.208, 14.832
-0.415, 0.578, 1.905, 9.766, -29.358, 7.385
-0.414, 0.514, 1.901, 2.563, -17.578, -2.014
-0.437, 0.304, 1.790, -3.174, -5.859, -10.986
-0.442, 0.108, 1.575, -5.188, 4.578, -16.418
-0.449, -0.062, 1.331, -5.188, 12.817, -17.822
-0.472, -0.142, 1.093, -3.601, 17.090, -15.869
-0.476, -0.172, 0.936, 1.770, 17.334, -12.451
-0.483, -0.116, 0.865, 9.155, 15.076, -8.423
-0.487, -0.072, 0.865, 14.038, 11.963, -5.432
-0.496, -0.067, 0.906, 13.794, 9.338, -4.272
-0.505, -0.051, 0.991, 11.719, 7.629, -3.235
-0.513, -0.013, 1.088, 10.803, 7.629, -2.258
-0.524, 0.022, 1.139, 9.888, 9.827, -1.648
-0.541, 0.046, 1.123, 9.216, 13.306, -1.648

-0.805, -1.295, -0.978, -53.284, -168.762, -126.465
-0.922, -1.486, -1.155, -52.307, -191.589, -112.488
-1.057, -1.603, -1.338, -51.025, -217.957, -96.313
-1.244, -1.778, -1.450, -50.781, -248.169, -81.360
-1.483, -2.056, -1.704, -51.941, -280.090, -66.345
-1.808, -2.480, -2.064, -58.472, -315.186, -50.171
-2.295, -2.959, -2.304, -64.575, -358.154, -28.748
-2.895, -3.639, -1.753, -71.655, -410.156, -1.404
-3.535, -4.000, -0.379, -63.293, -463.562, 39.001
-4.000, -4.000, 0.975, -49.316, -498.291, 94.666
-4.000, -3.782, 2.411, -77.515, -509.460, 153.015
-4.000, -3.191, 3.724, -88.745, -501.648, 207.520
-4.000, -2.522, 4.000, -96.924, -471.069, 254.395
-4.000, -1.765, 4.000, -94.055, -425.232, 291.748
-3.971, -1.198, 4.000, -78.430, -365.906, 315.613
-3.687, -0.799, 4.000, -56.641, -298.950, 328.796
-3.453, -0.634, 4.000, -29.785, -235.107, 335.449
-3.301, -0.725, 4.000, 1.587, -177.979, 339.539
-3.212, -0.718, 4.000, 31.067, -121.155, 347.534
-3.172, -0.654, 4.000, 49.500, -62.500, 357.788
-3.205, -0.538, 4.000, 56.885, -10.864, 367.249
-3.271, -0.387, 4.000, 60.364, 28.320, 375.977
-3.339, -0.104, 3.998, 58.777, 59.204, 384.094
-3.334, 0.238, 3.617, 48.218, 85.388, 388.550
-3.302, 0.502, 3.275, 26.917, 107.971, 386.047
-3.263, 0.726, 3.133, 1.770, 126.953, 378.967
-3.244, 0.981, 3.111, -28.381, 145.691, 370.361
-3.139, 1.707, 2.975, -54.626, 167.847, 362.488
-2.941, 2.769, 2.931, -59.753, 189.514, 349.304
-2.684, 3.634, 2.996, -52.795, 209.045, 314.697
-2.445, 3.976, 2.967, -44.800, 231.079, 261.169
-2.250, 3.837, 2.746, -33.875, 254.517, 200.073
-2.142, 3.413, 2.353, -25.818, 277.283, 140.991
-2.050, 2.830, 1.886, -28.809, 296.875, 89.722
-1.984, 2.122, 1.475, -36.194, 310.425, 45.410
-1.938, 1.389, 1.176, -45.715, 318.542, 11.658
-1.883, 0.751, 1.014, -53.894, 322.449, -9.644
-1.872, 0.327, 0.925, -58.289, 324.707, -20.752
-1.817, 0.090, 0.845, -64.453, 326.782, -25.085
-1.808, -0.065, 0.858, -67.810, 328.003, -27.283
-1.817, -0.065, 0.765, -65.125, 331.116, -26.917
-1.789, 0.030, 0.514, -59.143, 335.449, -27.405
-1.668, 0.053, 0.117, -61.340, 338.440, -30.273
-1.546, 0.010, -0.323, -69.458, 336.243, -36.316
-1.402, -0.123, -0.670, -86.487, 326.904, -42.969
-1.222, -0.210, -0.856, -111.755, 309.814, -48.645
-1.055, -0.235, -0.851, -141.296, 288.940, -53.162
-0.918, -0.209, -0.758, -152.466, 266.785, -57.434
-0.796, -0.248, -0.658, -143.311, 246.948, -62.927
-0.644, -0.334, -0.403, -126.709, 228.821, -68.054
-0.648, -0.362, -0.352, -84.717, 214.722, -67.444
-0.517, -0.376, -0.262, -62.195, 205.688, -64.087
-0.516, -0.243, -0.300, -40.588, 197.632, -61.340
-0.421, -0.196, -0.463, -39.856, 190.857, -60.852
-0.356, -0.323, -0.518, -52.002, 180.786, -63.477
-0.287, -0.428, -0.599, -61.951, 170.288, -63.965
-0.243, -0.539, -0.634, -70.190, 158.875, -62.073
-0.191, -0.571, -0.749, -78.003, 147.339, -58.044
-0.115, -0.645, -0.645, -92.346, 132.202, -54.626
-0.075, -0.661, -0.494, -93.201, 117.615, -49.072
-0.020, -0.679, -0.357, -88.318, 106.079, -43.091
0.009, -0.622, -0.279, -78.735, 96.741, -35.767
0.044, -0.512, -0.314, -65.857, 89.417, -28.809
0.085, -0.323, -0.398, -55.786, 82.397, -23.193
0.101, -0.165, -0.455, -42.358, 73.730, -20.630
0.133, -0.109, -0.548, -31.738, 64.758, -21.973
0.145, -0.114, -0.664, -33.020, 54.382, -25.513
0.211, -0.197, -0.729, -47.180, 41.260, -28.992
0.166, -0.301, -0.746, -56.091, 26.672, -30.151
0.176, -0.330, -0.786, -54.932, 11.719, -29.907
0.194, -0.349, -0.816, -50.049, -3.662, -27.771
