ax,ay,az,gx,gy,gz
0.185, -0.492, 2.533, 16.113, 13.062, 39.734
0.146, -0.546, 2.768, 15.320, 18.250, 40.283
0.117, -0.506, 2.977, 3.723, 31.006, 61.218
0.062, -0.011, 3.148, -3.235, 45.471, 74.707
0.037, 0.468, 3.085, -3.540, 64.453, 81.726
0.011, 0.976, 2.908, -0.854, 83.191, 81.726
-0.036, 1.314, 2.725, -0.732, 98.633, 72.510
-0.078, 1.403, 2.532, -3.662, 111.816, 57.190
-0.146, 1.306, 2.366, -9.644, 123.352, 40.222
-0.216, 1.133, 2.258, -16.479, 132.507, 26.306
-0.296, 1.016, 2.142, -25.024, 141.785, 16.479
-0.372, 1.006, 1.995, -35.034, 151.123, 10.132
-0.467, 1.138, 1.867, -43.396, 159.241, 5.127
-0.565, 1.283, 1.761, -54.016, 166.809, -2.380
-0.657, 1.430, 1.607, -67.444, 174.438, -13.000
-0.753, 1.519, 1.387, -76.416, 181.458, -26.489
-0.829, 1.561, 1.115, -78.369, 186.584, -41.443
-0.908, 1.606, 0.834, -74.158, 188.965, -55.664
-0.973, 1.634, 0.541, -70.679, 188.599, -70.740
-1.026, 1.665, 0.251, -70.190, 186.157, -85.754
-1.080, 1.610, -0.037, -73.486, 180.847, -102.112
-1.104, 1.546, -0.324, -76.355, 173.523, -117.859
-1.114, 1.545, -0.601, -78.735, 163.940, -131.653
-1.141, 1.451, -0.910, -82.764, 152.527, -146.912
-1.136, 1.279, -1.259, -86.487, 138.306, -163.208
-1.131, 1.033, -1.681, -88.013, 121.277, -177.307
-1.100, 0.819, -2.084, -92.285, 99.182, -188.660
-1.096, 0.625, -2.388, -102.356, 71.655, -197.632
-1.106, 0.306, -2.440, -111.511, 37.964, -206.055
-1.126, 0.015, -2.192, -109.192, 3.052, -211.243
-1.134, -0.276, -1.930, -90.454, -27.832, -213.501
-1.131, -0.763, -1.876, -64.880, -51.941, -216.431
-1.038, -1.400, -2.029, -46.387, -72.693, -217.651
-0.955, -2.141, -2.204, -40.466, -94.543, -212.341
-0.916, -2.843, -2.256, -45.715, -120.361, -198.914
-0.940, -3.526, -2.021, -53.711, -150.269, -177.490
-0.992, -4.000, -1.505, -51.636, -181.274, -147.705
-1.079, -4.000, -0.777, -40.710, -208.801, -114.502
-1.107, -4.000, -0.037, -31.433, -229.065, -76.965
-1.184, -4.000, 0.958, -19.470, -242.371, -28.687
-1.234, -4.000, 1.837, 10.132, -245.728, 30.396
-1.281, -4.000, 2.570, 30.640, -238.281, 101.624
