ax,ay,az,dx,dy,dz,x,y,z
-2.377, 7.991, -16.867, -0.055, -0.380, -1.227, -0.000, 0.000, -0.001
-3.448, 8.008, -17.848, -0.086, -0.525, -1.432, -0.000, 0.001, -0.002
-4.257, 7.263, -18.982, -0.085, -0.564, -1.328, -0.001, 0.002, -0.004
-5.419, 6.352, -19.437, -0.121, -0.755, -1.565, -0.001, 0.002, -0.005
-6.613, 4.472, -20.450, -0.136, -0.786, -1.450, -0.001, 0.002, -0.006
-7.568, 2.908, -21.810, -0.182, -1.024, -1.683, -0.002, 0.003, -0.008
-8.732, 0.804, -22.963, -0.163, -1.050, -1.532, -0.003, 0.003, -0.010
-10.251, -2.585, -23.302, -0.944, -1.360, -1.767, -0.003, 0.002, -0.011
-11.906, -7.907, -23.284, -0.864, -1.548, -1.793, -0.004, 0.002, -0.013
-13.537, -14.238, -21.638, -0.681, -1.550, -1.570, -0.005, 0.001, -0.015
-14.706, -20.653, -18.755, -0.640, -1.714, -1.470, -0.006, -0.000, -0.016
-15.910, -25.332, -16.203, -0.796, -2.080, -1.446, -0.007, -0.002, -0.017
-16.844, -26.393, -13.571, -0.925, -2.210, -1.142, -0.009, -0.004, -0.018
-17.587, -24.796, -10.810, -0.933, -2.074, -0.731, -0.010, -0.006, -0.019
-18.668, -22.955, -7.849, -1.039, -2.183, -0.482, -0.011, -0.007, -0.020
-20.016, -22.619, -4.689, -1.243, -2.607, -0.328, -0.013, -0.009, -0.020
-20.798, -24.242, -0.489, -2.371, -3.663, -0.144, -0.014, -0.011, -0.020
-22.077, -26.859, 4.538, -0.552, -1.917, 0.049, -0.016, -0.013, -0.020
-23.106, -30.356, 10.014, -0.688, -2.237, 0.290, -0.018, -0.015, -0.019
-23.699, -32.950, 14.023, -0.593, -1.948, 0.531, -0.019, -0.017, -0.018
-24.780, -33.380, 16.726, -0.544, -1.856, 0.866, -0.021, -0.019, -0.017
-25.987, -31.999, 19.090, -0.544, -1.967, 1.371, -0.023, -0.022, -0.016
-26.950, -29.656, 20.803, -0.437, -1.842, 1.754, -0.025, -0.024, -0.014
-28.321, -25.588, 22.486, -0.274, -1.526, 1.883, -0.027, -0.026, -0.013
