ax,ay,az,dx,dy,dz,x,y,z
-1.775, -0.733, -28.973, -0.187, -1.063, 0.397, -0.000, 0.000, -0.002
-3.230, -1.172, -30.870, -0.135, -1.268, 0.356, -0.000, -0.000, -0.004
-4.715, -2.153, -32.069, -0.091, -1.332, 0.281, -0.001, -0.000, -0.006
-6.547, -4.645, -33.221, -0.058, -1.740, 0.271, -0.001, -0.001, -0.009
-8.762, -7.723, -34.443, -0.038, -1.771, 0.236, -0.002, -0.001, -0.011
-11.211, -8.945, -34.496, -0.085, -2.007, 0.296, -0.002, -0.002, -0.014
-14.322, -8.891, -32.374, -0.168, -2.542, 0.448, -0.003, -0.002, -0.016
-17.381, -7.646, -27.489, -0.279, -2.822, 0.570, -0.005, -0.003, -0.018
-20.576, -2.705, -19.514, -0.350, -2.732, 0.635, -0.006, -0.003, -0.020
-22.705, 2.030, -10.949, 0.385, -2.938, 0.708, -0.008, -0.003, -0.021
-24.070, 5.970, -1.881, 0.519, -3.773, 0.801, -0.009, -0.003, -0.021
-24.120, 10.571, 7.545, 0.152, -3.124, 0.756, -0.011, -0.002, -0.020
-23.835, 14.469, 16.949, 0.123, -2.840, 0.585, -0.013, -0.001, -0.019
-22.587, 18.259, 27.205, 0.078, -2.788, 0.471, -0.014, 0.000, -0.018
-20.110, 19.746, 29.671, 0.084, -2.980, 0.342, -0.016, 0.002, -0.015
-17.530, 19.879, 29.671, 0.433, -2.709, 0.139, -0.018, 0.003, -0.013
-14.389, 18.620, 29.671, 0.377, -2.089, -0.074, -0.019, 0.005, -0.011
-12.585, 16.119, 29.671, 0.414, -2.017, -0.292, -0.020, 0.006, -0.009
-10.846, 14.276, 29.671, 0.412, -1.503, -0.403, -0.020, 0.007, -0.007
-9.927, 12.948, 29.671, 0.442, -1.304, -0.572, -0.021, 0.008, -0.004
-9.351, 13.344, 29.671, 0.311, -0.741, -0.591, -0.022, 0.009, -0.003
-9.736, 14.510, 29.671, 0.308, -0.300, -0.750, -0.022, 0.010, -0.000
-11.118, 15.562, 29.671, 0.289, 0.225, -0.769, -0.023, 0.011, 0.002
-13.309, 15.621, 29.671, 0.346, 0.786, -1.019, -0.024, 0.012, 0.004
-16.273, 14.752, 29.671, 0.271, 1.105, -1.061, -0.025, 0.013, 0.006
-19.215, 12.278, 29.671, 0.195, 1.605, -1.381, -0.027, 0.014, 0.008
-21.482, 8.156, 29.671, 0.041, 1.677, -1.397, -0.028, 0.015, 0.010
-23.317, 4.194, 25.347, -0.175, 2.076, -1.717, -0.030, 0.015, 0.012
-25.033, -0.256, 22.643, -0.401, 2.206, -1.826, -0.032, 0.015, 0.014
-26.675, -5.420, 19.078, -0.499, 2.077, -1.694, -0.034, 0.015, 0.016
-27.588, -8.739, 12.857, -0.556, 2.206, -1.694, -0.035, 0.014, 0.017
-27.392, -11.120, 5.732, -0.627, 2.664, -1.854, -0.038, 0.013, 0.017
-26.943, -13.271, -1.410, -1.175, 1.754, -1.789, -0.040, 0.012, 0.017
-25.369, -12.956, -7.625, -0.779, 1.932, -1.496, -0.041, 0.012, 0.017
-23.748, -11.487, -12.103, -0.863, 2.153, -1.571, -0.043, 0.011, 0.016
-22.227, -8.516, -13.350, -0.817, 1.828, -1.327, -0.045, 0.010, 0.015
-21.059, -7.591, -13.377, -0.835, 1.738, -1.327, -0.046, 0.010, 0.014
-20.721, -7.757, -13.083, -0.912, 1.872, -1.525, -0.048, 0.009, 0.013
-20.271, -9.649, -14.469, -0.874, 1.819, -1.561, -0.050, 0.008, 0.012
-19.270, -13.754, -16.906, -0.739, 1.575, -1.407, -0.051, 0.007, 0.011
-17.892, -15.959, -20.570, -0.709, 1.515, -1.349, -0.052, 0.006, 0.009
-16.051, -17.530, -23.886, -0.778, 1.602, -1.399, -0.053, 0.005, 0.008
-14.438, -18.318, -26.349, -0.787, 1.469, -1.258, -0.054, 0.003, 0.006
-12.427, -17.821, -28.317, -0.723, 1.169, -0.977, -0.055, 0.002, 0.004
-10.212, -16.636, -29.372, -0.819, 1.148, -0.934, -0.056, 0.001, 0.001
-9.372, -14.982, -30.575, -0.711, 0.871, -0.701, -0.057, 0.000, -0.001
-8.258, -13.186, -32.522, -0.674, 0.805, -0.661, -0.057, -0.001, -0.003
-8.118, -12.063, -34.688, -0.512, 0.549, -0.490, -0.058, -0.002, -0.005
-7.244, -9.872, -38.033, -0.534, 0.416, -0.458, -0.059, -0.003, -0.008
-6.685, -8.639, -41.248, -0.490, 0.180, -0.404, -0.059, -0.003, -0.012
-6.177, -7.687, -44.202, -0.430, -0.081, -0.328, -0.059, -0.004, -0.015
-6.433, -7.404, -47.429, -0.362, -0.343, -0.314, -0.060, -0.004, -0.018
-7.516, -8.322, -48.799, -0.399, -0.714, -0.344, -0.061, -0.005, -0.021
-9.048, -9.773, -48.799, -0.368, -0.952, -0.298, -0.061, -0.006, -0.025
-11.484, -11.784, -48.799, -0.376, -1.449, -0.302, -0.062, -0.007, -0.029
-14.129, -14.274, -48.799, -0.256, -1.836, -0.240, -0.063, -0.008, -0.032
-18.175, -17.071, -48.799, -0.123, -1.996, -0.139, -0.064, -0.009, -0.036
-22.835, -19.307, -48.799, -0.151, -2.668, -0.035, -0.066, -0.010, -0.040
-28.004, -20.248, -47.404, -0.208, -2.732, 0.118, -0.068, -0.012, -0.043
-33.302, -21.441, -41.252, -0.390, -3.065, 0.295, -0.070, -0.013, -0.045
-38.429, -21.731, -31.835, -0.739, -3.782, 0.595, -0.073, -0.015, -0.048
-39.999, -19.308, -20.050, -1.010, -4.083, 0.944, -0.076, -0.016, -0.050
-39.999, -13.538, -7.962, -1.085, -3.906, 1.176, -0.079, -0.017, -0.050
-39.999, -4.104, 3.972, -0.748, -3.808, 1.684, -0.082, -0.018, -0.050
-39.999, 6.924, 18.532, -0.174, -3.687, 1.671, -0.084, -0.017, -0.049
-39.999, 15.546, 29.671, 0.346, -4.179, 1.817, -0.088, -0.016, -0.047
-39.999, 18.860, 29.671, 0.605, -3.596, 1.355, -0.090, -0.015, -0.045
-35.645, 19.620, 29.671, 0.696, -3.794, 1.172, -0.093, -0.014, -0.043
-28.901, 19.545, 29.671, 0.195, -3.023, 0.746, -0.095, -0.012, -0.041
-20.989, 21.341, 29.671, -0.414, -2.805, 0.553, -0.097, -0.011, -0.038
-15.012, 18.869, 29.671, -0.354, -1.834, 0.265, -0.098, -0.009, -0.037
-10.071, 15.065, 29.671, -0.258, -1.189, 0.057, -0.099, -0.008, -0.034
-7.186, 10.100, 29.671, -0.247, -0.325, -0.145, -0.099, -0.007, -0.032
-5.687, 5.091, 29.671, -0.336, 0.158, -0.315, -0.100, -0.007, -0.030
-4.906, 1.774, 22.351, -0.359, 0.418, -0.380, -0.100, -0.007, -0.028
-4.507, -2.724, 10.609, -0.310, 0.456, -0.366, -0.100, -0.007, -0.027
-3.791, -5.474, 1.561, -0.158, 0.467, -0.339, -0.101, -0.007, -0.027
-3.260, -6.636, -3.615, -0.473, 0.105, -0.285, -0.101, -0.008, -0.027
-2.829, -5.365, -5.476, -0.397, -0.042, -0.162, -0.101, -0.008, -0.028
-2.922, -3.465, -4.932, -0.326, -0.156, -0.059, -0.101, -0.008, -0.028
-3.020, -1.747, -4.435, -0.303, -0.250, -0.016, -0.102, -0.008, -0.028
-3.377, -1.006, -3.116, -0.296, -0.363, -0.007, -0.102, -0.009, -0.028
-3.565, -1.175, -0.707, -0.247, -0.572, -0.014, -0.102, -0.009, -0.028
-3.806, -1.517, 2.444, 0.043, -0.158, -0.015, -0.102, -0.009, -0.028
-4.230, -2.354, 5.649, 0.017, -0.159, -0.013, -0.103, -0.009, -0.028
-4.262, -2.367, 6.833, -0.019, -0.128, 0.002, -0.103, -0.009, -0.027
-4.163, -1.699, 5.774, -0.062, -0.067, 0.032, -0.103, -0.009, -0.027
-4.147, -0.299, 4.217, -0.069, -0.014, 0.053, -0.104, -0.009, -0.027
-4.040, 1.158, 2.684, -0.053, 0.025, 0.063, -0.104, -0.009, -0.027
-3.999, 1.890, 1.142, -0.069, 0.126, 0.050, -0.104, -0.009, -0.026
-3.923, 2.005, -0.118, 0.696, -1.119, 0.020, -0.105, -0.009, -0.026
-3.923, 1.394, -0.973, 0.222, -0.311, -0.012, -0.105, -0.009, -0.026
-3.985, 0.514, -1.282, 0.301, -0.331, -0.035, -0.105, -0.009, -0.026
-4.056, -0.745, -1.575, -0.343, -0.291, -0.045, -0.105, -0.009, -0.027
-4.172, -1.534, -1.675, -0.334, -0.340, -0.042, -0.106, -0.009, -0.027
-4.266, -1.193, -1.645, -0.316, -0.360, -0.018, -0.106, -0.009, -0.027
-4.363, -0.274, -1.194, -0.292, -0.366, 0.004, -0.106, -0.009, -0.027
-4.528, 0.407, -0.539, 0.376, -0.507, 0.003, -0.107, -0.009, -0.027
-4.493, 0.643, -0.254, 0.473, -0.815, -0.009, -0.107, -0.009, -0.027
-4.535, 0.342, 0.316, 0.136, 0.363, -0.026, -0.107, -0.009, -0.027
-4.549, -0.469, 1.098, 0.010, 0.075, -0.041, -0.108, -0.009, -0.027
-4.583, -0.836, 1.197, -0.038, 0.089, -0.044, -0.108, -0.009, -0.027
-4.565, -1.416, 0.246, 0.083, 0.541, -0.050, -0.108, -0.009, -0.027
-4.530, -1.809, -1.039, -0.402, -0.347, -0.042, -0.109, -0.009, -0.027
-4.547, -1.648, -2.258, -0.361, -0.224, -0.023, -0.109, -0.009, -0.027
-4.523, -1.040, -3.467, -0.374, -0.214, -0.011, -0.109, -0.009, -0.027
-4.396, -0.818, -4.350, -0.407, -0.264, -0.011, -0.110, -0.009, -0.028
-4.353, -1.335, -4.349, -0.370, -0.301, -0.016, -0.110, -0.009, -0.028
-4.284, -1.889, -3.813, -0.301, -0.299, -0.012, -0.110, -0.010, -0.028
-4.254, -2.031, -2.748, -0.315, -0.375, 0.001, -0.111, -0.010, -0.028
-4.238, -1.467, -1.463, -0.271, -0.398, 0.022, -0.111, -0.010, -0.028
-4.242, -0.821, -0.397, -0.297, -0.618, 0.036, -0.111, -0.010, -0.028
-4.179, -0.547, -0.057, -0.605, -2.274, 0.038, -0.111, -0.010, -0.028
-4.228, -0.327, -0.077, -0.473, -1.792, 0.033, -0.112, -0.010, -0.028
-4.230, -0.576, -0.332, -0.345, -0.641, 0.021, -0.112, -0.010, -0.028
-4.258, -0.614, -0.779, -0.370, -0.512, 0.021, -0.112, -0.010, -0.028
-4.157, -0.960, -1.055, -0.305, -0.411, 0.018, -0.113, -0.010, -0.029
-4.143, -1.118, -0.973, -0.325, -0.482, 0.019, -0.113, -0.010, -0.029
-4.069, -0.964, -0.802, -0.283, -0.456, 0.026, -0.113, -0.010, -0.029

0.302, -2.079, -32.022, -0.324, 1.297, -0.014, 0.000, -0.000, -0.002
1.353, -2.737, -35.899, -0.250, 1.081, -0.029, 0.000, -0.000, -0.004
1.709, -3.859, -38.053, -0.248, 0.932, -0.060, 0.000, -0.001, -0.007
1.655, -8.599, -40.249, -0.293, 0.634, -0.100, 0.000, -0.001, -0.010
1.109, -12.357, -42.705, -0.300, 0.294, -0.048, 0.000, -0.002, -0.013
0.244, -13.782, -46.428, -0.404, 0.012, 0.083, 0.000, -0.003, -0.017
-1.756, -13.637, -48.799, -0.376, -1.027, 0.227, 0.000, -0.004, -0.020
-4.141, -13.359, -48.799, -0.404, -1.563, 0.406, 0.000, -0.005, -0.024
-7.712, -14.121, -48.697, -0.345, -1.768, 0.487, -0.000, -0.006, -0.027
-12.304, -13.254, -45.865, -0.423, -2.390, 0.720, -0.001, -0.007, -0.031
-17.097, -9.052, -43.796, -0.393, -2.453, 0.839, -0.002, -0.008, -0.033
-22.710, -3.423, -40.541, -0.449, -3.120, 1.120, -0.004, -0.008, -0.037
-28.217, 1.794, -32.490, 0.349, -3.105, 1.074, -0.006, -0.008, -0.039
-32.819, 4.779, -20.207, 0.479, -3.844, 1.216, -0.008, -0.008, -0.041
-34.945, 8.788, -3.392, 0.633, -3.904, 1.066, -0.011, -0.007, -0.041
-34.674, 14.343, 18.902, 0.823, -3.968, 1.129, -0.014, -0.006, -0.040
-31.675, 15.436, 29.671, 1.139, -3.516, 0.796, -0.016, -0.005, -0.038
-25.184, 10.556, 29.671, 1.415, -3.668, 0.573, -0.018, -0.004, -0.036
-18.718, 6.442, 29.671, 1.208, -3.171, 0.348, -0.019, -0.004, -0.033
-13.462, 5.876, 29.671, 0.724, -2.307, 0.281, -0.020, -0.003, -0.031
-9.695, 10.575, 29.671, 0.488, -1.789, 0.326, -0.021, -0.002, -0.030
-7.275, 18.695, 29.671, 0.289, -1.498, 0.376, -0.022, -0.001, -0.027
-5.922, 25.902, 29.671, 0.212, -1.046, 0.244, -0.022, 0.001, -0.025
-5.449, 28.813, 29.671, 0.188, -0.528, -0.033, -0.022, 0.003, -0.023
-5.527, 26.387, 29.671, 0.210, -0.118, -0.355, -0.023, 0.004, -0.021
-6.149, 19.952, 29.671, 0.225, 0.313, -0.745, -0.023, 0.006, -0.018
