ax,ay,az,dx,dy,dz,x,y,z
-6.183, 9.581, 19.221, -0.036, -0.382, 0.376, -0.000, 0.001, 0.001
-6.928, 9.501, 23.129, -0.025, -0.261, 0.262, -0.001, 0.001, 0.003
-6.834, 10.614, 26.694, -0.056, -0.148, 0.191, -0.001, 0.002, 0.004
-7.407, 9.207, 29.671, 0.015, -0.024, 0.131, -0.002, 0.003, 0.007
-7.920, 9.840, 29.671, 0.071, 0.161, 0.066, -0.003, 0.003, 0.009
-8.578, 9.653, 29.671, 0.089, 0.341, -0.015, -0.003, 0.004, 0.011
-9.560, 8.970, 29.671, 0.105, 0.627, -0.105, -0.004, 0.005, 0.013
-10.617, 7.962, 29.671, 0.085, 0.777, -0.174, -0.004, 0.005, 0.015
-11.890, 6.981, 29.671, 0.095, 1.116, -0.268, -0.005, 0.006, 0.018
-13.207, 7.157, 29.671, 0.091, 1.199, -0.284, -0.006, 0.006, 0.020
-14.798, 7.076, 29.671, 0.116, 1.574, -0.381, -0.007, 0.007, 0.022
-16.637, 6.458, 28.149, 0.165, 1.592, -0.404, -0.008, 0.007, 0.024
-18.526, 5.552, 24.704, 0.276, 2.012, -0.516, -0.010, 0.008, 0.026
-20.151, 3.862, 21.422, 0.388, 1.977, -0.489, -0.011, 0.008, 0.027
-20.384, 5.344, 15.738, 0.455, 2.445, -0.540, -0.013, 0.009, 0.029
-23.233, 5.710, 10.497, 0.386, 2.344, -0.495, -0.014, 0.009, 0.029
-24.093, 6.989, 7.077, 0.561, 2.808, -0.551, -0.016, 0.009, 0.030
-25.011, 7.697, 2.429, 0.563, 2.777, -0.542, -0.018, 0.010, 0.030
-26.774, 6.093, -0.161, 2.046, -1.583, -0.651, -0.020, 0.010, 0.030
-26.709, 6.619, -3.282, 1.203, 2.167, -0.571, -0.022, 0.011, 0.030
-26.525, 8.584, -9.464, 1.345, 2.670, -0.598, -0.024, 0.012, 0.029
-25.731, 8.135, -13.038, 0.899, 2.405, -0.571, -0.026, 0.012, 0.029
-25.854, 5.961, -13.839, 1.027, 2.671, -0.696, -0.028, 0.013, 0.028
-25.796, 6.103, -18.732, 0.778, 2.363, -0.625, -0.029, 0.013, 0.026
-23.732, 2.685, -19.659, 0.389, 2.592, -0.767, -0.031, 0.013, 0.025
-23.822, 5.251, -22.614, 0.276, 2.495, -0.841, -0.033, 0.014, 0.023
-21.928, 3.259, -24.530, 0.136, 2.107, -0.825, -0.035, 0.014, 0.021
-20.643, 6.209, -26.318, 0.294, 1.983, -0.869, -0.036, 0.014, 0.020
-20.117, 6.876, -27.755, 0.536, 2.088, -1.080, -0.038, 0.015, 0.018
-19.602, 6.827, -30.557, 0.672, 1.950, -1.201, -0.039, 0.015, 0.015
-18.881, 6.379, -33.490, 0.762, 1.593, -1.199, -0.040, 0.016, 0.013
-17.694, 4.771, -36.677, 1.236, 1.612, -1.488, -0.042, 0.016, 0.010
-17.623, 0.703, -39.826, 1.518, 1.254, -1.430, -0.043, 0.016, 0.008
-16.317, -4.785, -43.095, 0.951, 1.203, -1.694, -0.044, 0.016, 0.004
-14.928, -11.648, -46.499, 0.680, 0.851, -1.564, -0.045, 0.015, 0.001
-13.719, -18.400, -48.799, 0.812, 0.674, -1.743, -0.046, 0.014, -0.003
-12.128, -25.680, -48.799, 0.884, 0.309, -1.469, -0.047, 0.012, -0.006
-10.459, -31.384, -48.799, 0.964, -0.023, -1.293, -0.048, 0.010, -0.009
-9.403, -37.179, -48.799, 1.013, -0.458, -1.217, -0.049, 0.007, -0.013
-10.120, -39.265, -48.799, 0.872, -0.958, -0.901, -0.049, 0.004, -0.017
-12.331, -39.265, -48.799, 0.699, -1.328, -0.458, -0.050, 0.002, -0.020
-15.010, -39.265, -48.799, 0.714, -2.010, -0.061, -0.051, -0.001, -0.024
-18.922, -39.265, -47.930, 0.552, -2.178, 0.333, -0.053, -0.004, -0.027
-23.784, -35.935, -43.777, 0.497, -2.824, 0.764, -0.054, -0.007, -0.031
-29.671, -33.122, -40.540, 0.281, -2.815, 0.960, -0.056, -0.009, -0.033
-35.949, -32.268, -36.606, 0.095, -3.508, 1.361, -0.059, -0.012, -0.036
-39.999, -31.707, -32.144, -0.044, -3.849, 1.675, -0.062, -0.014, -0.039
-39.999, -29.918, -25.404, -0.195, -3.722, 1.798, -0.065, -0.016, -0.041
-39.999, -27.423, -14.102, -0.342, -4.048, 2.127, -0.067, -0.018, -0.042
-39.999, -23.330, 2.057, -0.096, -3.925, 2.831, -0.071, -0.020, -0.042
-39.999, -15.080, 18.223, -0.637, -4.037, 2.965, -0.073, -0.021, -0.041
-39.999, -0.273, 29.671, -0.921, -4.509, 3.851, -0.076, -0.021, -0.038
