ax,ay,az,gx,gy,gz
-0.282, 0.430, 2.942, 43.152, -132.935, 36.560
-0.224, 0.232, 3.871, 60.242, -121.521, 31.311
-0.207, 0.003, 4.000, 83.252, -95.093, 28.625
-0.214, -0.324, 4.000, 102.844, -53.467, 32.410
-0.225, -0.280, 4.000, 112.549, 0.061, 43.457
-0.299, 0.042, 4.000, 121.094, 61.707, 56.763
-0.461, 0.639, 4.000, 130.310, 125.977, 66.895
-0.614, 1.187, 4.000, 132.568, 185.913, 65.247
-0.807, 1.520, 4.000, 126.892, 237.183, 52.063
-1.088, 1.703, 3.895, 116.638, 281.799, 32.654
-1.430, 1.727, 3.583, 106.995, 325.256, 9.949
-1.803, 1.461, 3.098, 96.741, 367.188, -15.503
-2.170, 0.999, 2.418, 86.243, 405.518, -39.185
-2.450, 0.538, 1.529, 76.355, 437.683, -55.481
-2.579, 0.079, 0.564, 71.167, 458.374, -64.758
-2.594, -0.344, -0.364, 62.073, 465.393, -68.054
-2.477, -0.589, -1.160, 59.143, 458.862, -65.002
-2.266, -0.752, -1.763, 70.129, 440.613, -58.594
-1.990, -0.941, -2.211, 90.393, 413.574, -52.307
-1.667, -1.248, -2.364, 135.559, 381.165, -44.128
-1.562, -1.495, -2.541, 198.547, 348.633, -27.771
-1.346, -1.371, -3.124, 223.511, 318.604, -6.531
-1.104, -1.559, -3.851, 288.086, 279.724, 8.972
-0.835, -1.679, -4.000, 304.749, 227.295, 30.029
-0.579, -1.568, -4.000, 270.874, 166.870, 48.950
-0.446, -1.413, -4.000, 229.126, 96.497, 64.453
-0.448, -1.362, -4.000, 163.513, 14.465, 71.472
-0.610, -1.276, -4.000, 124.817, -73.792, 77.393
-0.911, -1.355, -4.000, 96.130, -162.292, 79.712
-1.327, -1.496, -4.000, 86.670, -243.896, 83.374
-1.771, -1.599, -3.967, 91.553, -316.040, 90.881
-2.245, -1.663, -3.275, 88.501, -380.127, 102.295
-2.746, -1.706, -2.323, 66.833, -436.707, 115.967
