ax,ay,az,gx,gy,gz
-0.395, 0.600, 2.132, -64.880, -5.005, 111.084
-0.441, 0.641, 2.281, -37.170, 3.113, 110.168
-0.491, 0.905, 2.604, -28.076, 15.564, 107.971
-0.488, 0.929, 2.733, -34.241, 35.278, 99.915
-0.479, 0.952, 2.827, -31.921, 57.434, 90.698
-0.524, 0.904, 2.917, -20.447, 80.261, 82.458
-0.627, 0.833, 3.019, -11.536, 104.309, 74.768
-0.667, 0.656, 3.011, -9.216, 131.531, 67.322
-0.697, 0.574, 3.022, -20.874, 160.889, 63.049
-0.826, 0.544, 2.838, -17.578, 190.308, 62.866
-0.912, 0.651, 2.705, -12.390, 217.285, 63.782
-1.015, 0.820, 2.653, -26.489, 242.188, 62.622
-1.123, 0.994, 2.554, -38.086, 267.639, 58.655
-1.260, 1.201, 2.337, -48.279, 294.556, 52.063
-1.332, 1.532, 2.021, -66.650, 320.679, 43.335
-1.515, 1.935, 1.695, -90.454, 343.384, 28.809
-1.723, 2.323, 1.334, -112.610, 361.328, 7.812
-1.885, 2.591, 0.883, -155.823, 374.634, -23.926
-2.072, 2.879, 0.365, -182.495, 382.019, -67.566
-2.225, 2.965, -0.110, -206.055, 379.761, -116.394
-2.280, 3.342, -0.675, -220.947, 370.239, -170.410
-2.406, 3.186, -1.312, -217.285, 351.257, -232.727
-2.458, 3.076, -1.842, -208.008, 322.205, -294.189
-2.536, 2.531, -2.179, -173.828, 282.959, -356.201
-2.643, 1.978, -2.494, -140.198, 241.455, -404.236
-2.650, 1.228, -2.787, -126.465, 197.876, -446.472
-2.526, 0.299, -3.030, -109.375, 151.978, -476.318
-2.404, -1.002, -3.513, -39.978, 105.408, -490.845
-2.117, -2.033, -3.989, 56.152, 60.730, -480.896
-1.752, -3.063, -4.000, 108.276, 18.250, -457.947
-1.450, -3.748, -4.000, 147.217, -35.889, -418.823
-1.272, -4.000, -4.000, 128.662, -105.408, -376.770
-1.223, -4.000, -4.000, 57.800, -190.979, -333.313
-1.357, -4.000, -4.000, -43.640, -289.673, -280.273
-1.633, -4.000, -2.734, -90.271, -378.845, -195.251
-1.819, -4.000, -0.840, -64.941, -436.218, -83.374
-2.045, -4.000, 0.602, -25.269, -461.792, 24.292
-2.246, -4.000, 1.695, 14.160, -464.722, 114.746
-2.402, -4.000, 2.347, 53.833, -450.806, 186.646
-2.472, -3.762, 2.533, 84.717, -427.246, 241.760
-2.563, -3.315, 2.985, 92.590, -407.288, 280.762
-2.700, -3.034, 3.714, 88.989, -388.794, 313.049
-2.748, -2.756, 4.000, 80.994, -363.342, 345.520
-2.712, -2.338, 4.000, 105.164, -327.148, 379.761
-2.555, -1.651, 4.000, 171.814, -282.043, 412.720
-2.444, -0.878, 4.000, 191.711, -220.276, 434.448
-2.224, 0.154, 4.000, 162.292, -132.690, 447.021
-2.205, 1.348, 4.000, 124.329, -28.259, 450.745
-2.241, 2.869, 4.000, 64.758, 80.872, 441.040
-2.267, 4.000, 4.000, -34.668, 189.575, 408.447
-2.300, 4.000, 4.000, -130.920, 286.377, 345.032
-2.246, 4.000, 2.977, -188.843, 359.497, 257.874
-2.193, 4.000, 1.225, -192.322, 402.527, 162.354
-2.080, 4.000, -0.189, -150.574, 416.626, 76.294
-1.902, 3.994, -1.381, -76.172, 406.738, 5.127
-1.685, 3.797, -2.381, 7.202, 379.272, -47.668
-1.281, 3.647, -3.536, 87.097, 340.210, -89.478
-0.947, 3.530, -4.000, 88.623, 288.635, -129.822
-0.593, 3.181, -4.000, 48.523, 214.050, -176.758
-0.560, 2.974, -4.000, 14.709, 113.831, -217.896
-0.721, 2.274, -4.000, 14.648, 2.502, -262.573
-1.046, 1.326, -4.000, 28.015, -106.506, -298.401
-1.447, 0.760, -3.950, 1.343, -198.792, -314.941
-1.854, 0.624, -2.556, -25.146, -268.311, -320.251
-2.160, 0.457, -1.175, -34.912, -319.885, -326.904
-2.327, 0.185, 0.405, -55.420, -356.018, -336.243
-2.330, 0.005, 2.133, -73.303, -371.948, -342.346
-2.209, -0.050, 3.772, -85.327, -364.929, -343.750
-2.022, -0.342, 4.000, -73.364, -333.679, -349.243
-1.732, -1.244, 4.000, -79.590, -276.123, -360.229
-1.396, -2.362, 4.000, -113.159, -189.697, -358.826
-0.928, -3.079, 4.000, -72.083, -97.534, -328.247
-0.601, -3.283, 3.816, -46.204, -21.545, -284.302
-0.377, -3.272, 2.500, -41.809, 19.348, -240.723
-0.239, -3.034, 1.675, -46.509, 35.461, -198.853
-0.141, -2.663, 1.265, -52.002, 36.804, -161.865
-0.076, -2.170, 1.118, -50.964, 32.288, -130.615
-0.029, -1.714, 1.014, -45.837, 27.710, -108.887
0.025, -1.395, 0.872, -38.025, 23.926, -95.642
0.107, -1.114, 0.771, -29.175, 19.104, -86.731
0.195, -1.025, 0.744, -23.743, 13.428, -82.947
0.254, -1.112, 0.698, -21.484, 8.240, -81.116
0.309, -1.172, 0.630, -18.982, 3.418, -75.928
0.338, -1.159, 0.590, -17.273, -1.770, -67.505
0.331, -1.150, 0.626, -16.052, -7.812, -59.387
0.320, -1.139, 0.678, -15.442, -13.550, -50.903
0.308, -0.943, 0.787, -14.404, -18.616, -40.833
0.293, -0.766, 0.970, -14.038, -23.376, -33.325
0.273, -0.714, 1.157, -16.541, -25.146, -30.457
0.253, -0.703, 1.295, -18.372, -23.804, -27.771
0.263, -0.665, 1.327, -18.921, -19.775, -23.132
0.261, -0.573, 1.282, -19.653, -14.832, -18.250
0.257, -0.450, 1.205, -19.592, -10.498, -14.099
0.248, -0.357, 1.130, -18.555, -7.629, -11.963
0.224, -0.345, 1.061, -16.174, -6.348, -12.329
0.215, -0.354, 0.993, -11.414, -5.554, -12.268
0.202, -0.355, 0.949, -6.348, -5.554, -11.414
0.188, -0.366, 0.951, -1.404, -7.080, -10.437
0.164, -0.412, 0.976, 2.258, -8.118, -10.010
0.143, -0.421, 0.968, 2.930, -7.874, -8.179
0.137, -0.309, 0.947, 1.587, -7.935, -5.066
0.126, -0.234, 0.961, -1.465, -8.057, -4.333
0.108, -0.188, 0.982, -3.357, -7.996, -5.920
0.109, -0.180, 0.948, -2.747, -7.080, -8.240
0.111, -0.191, 0.908, -4.456, -6.409, -10.742
0.104, -0.247, 0.913, -8.850, -6.897, -13.184
0.095, -0.351, 0.932, -11.108, -7.568, -15.076
0.087, -0.443, 0.951, -9.949, -7.996, -14.465
0.089, -0.419, 0.976, -5.493, -8.545, -11.292
0.089, -0.379, 0.975, -1.648, -8.667, -8.240
0.085, -0.350, 0.984, 0.732, -8.484, -6.653
0.084, -0.350, 0.991, 2.563, -8.362, -5.981
0.082, -0.363, 0.986, 5.188, -8.240, -5.127
0.075, -0.332, 0.985, 6.226, -8.118, -3.662
0.079, -0.271, 0.979, 3.357, -7.568, -2.502
0.079, -0.243, 0.984, 0.183, -7.385, -2.930
0.077, -0.264, 1.004, -1.099, -7.812, -4.150
0.073, -0.329, 1.021, -0.305, -7.080, -5.188
0.068, -0.428, 1.001, 1.343, -6.531, -5.676

-0.658, 0.127, 2.337, -31.738, 8.057, 73.242
-0.668, 0.158, 2.431, -33.691, 22.461, 76.355
-0.719, 0.188, 2.461, -32.654, 38.513, 79.102
-0.780, 0.272, 2.411, -26.855, 55.481, 82.153
-0.799, 0.394, 2.367, -16.357, 71.228, 84.595
-0.778, 0.463, 2.481, -8.057, 84.717, 84.045
-0.791, 0.435, 2.754, -5.493, 98.999, 80.933
-0.845, 0.365, 3.091, -0.732, 117.065, 78.674
-0.972, 0.296, 3.347, 3.540, 141.907, 77.881
-1.068, 0.256, 3.612, 5.066, 172.363, 78.491
-1.231, 0.329, 3.620, 26.733, 208.618, 82.092
-1.493, 0.257, 3.544, 43.579, 246.216, 84.229
-1.716, 0.321, 3.295, 51.392, 285.767, 89.539
-1.954, 0.460, 2.970, 61.096, 322.937, 93.567
-2.177, 0.588, 2.578, 61.829, 356.140, 96.130
-2.335, 0.754, 2.183, 53.040, 384.644, 95.581
-2.502, 0.957, 1.793, 44.739, 407.288, 92.773
-2.623, 1.259, 1.469, 30.090, 425.598, 87.158
