ax,ay,az,gx,gy,gz
-0.140, -1.493, -1.863, 24.475, -37.476, 14.526
-0.224, -1.667, -2.176, 15.930, -62.500, 26.428
-0.356, -1.869, -2.356, 10.132, -92.773, 41.260
-0.530, -1.954, -2.422, 7.446, -126.343, 61.035
-0.716, -1.985, -2.558, 5.737, -160.645, 84.412
-0.917, -1.626, -2.569, -1.282, -198.730, 113.586
-1.173, -0.988, -2.155, -18.372, -241.516, 142.883
-1.439, -0.320, -1.259, -42.114, -282.837, 164.734
-1.608, 0.473, -0.031, -74.646, -316.162, 181.152
-1.706, 1.322, 1.294, -116.638, -336.548, 192.932
-1.610, 2.357, 2.573, -163.208, -341.370, 198.914
-1.517, 3.546, 3.720, -180.115, -331.970, 197.327
-1.347, 4.000, 4.000, -174.438, -310.303, 178.467
-1.117, 4.000, 4.000, -139.954, -283.447, 146.790
-0.948, 4.000, 4.000, -51.392, -247.681, 100.342
-0.832, 4.000, 4.000, 2.747, -199.463, 39.124
-0.669, 4.000, 4.000, 42.480, -133.423, -20.264
-0.657, 4.000, 4.000, 59.021, -53.894, -78.125
-0.752, 3.613, 4.000, 56.396, 23.132, -120.239
-0.944, 2.996, 4.000, 45.898, 92.285, -146.179
-1.188, 2.599, 4.000, 39.062, 153.625, -164.062
-1.447, 2.231, 4.000, 35.217, 204.529, -180.054
-1.625, 1.853, 3.256, 37.659, 239.807, -194.763
-1.730, 1.498, 2.375, 45.349, 257.996, -205.139
-1.802, 1.222, 1.879, 51.208, 264.709, -211.670
-1.859, 0.950, 1.707, 54.382, 266.113, -216.431
-1.953, 0.776, 1.646, 59.875, 268.066, -218.018
-2.015, 0.750, 1.597, 63.171, 274.475, -217.529
-2.103, 0.727, 1.430, 60.913, 284.729, -219.849
-2.238, 0.640, 1.065, 55.176, 296.753, -225.220
-2.394, 0.541, 0.797, 49.805, 306.580, -232.727
-2.548, 0.427, 0.548, 49.500, 314.880, -240.479
-2.714, 0.191, 0.140, 54.565, 324.463, -250.122
-2.818, -0.193, -0.398, 55.664, 332.520, -260.193
-3.004, -0.566, -0.941, 47.546, 334.778, -267.151
-3.027, -1.393, -1.558, 62.317, 329.834, -273.254
-2.927, -1.916, -1.987, 65.430, 317.871, -265.137
-2.688, -2.573, -2.619, 56.702, 302.795, -254.639
-2.480, -3.282, -3.468, 53.528, 282.349, -236.633
-2.156, -3.991, -4.000, 47.729, 251.343, -209.839
-1.755, -4.000, -4.000, 25.391, 208.008, -172.302
-1.420, -4.000, -4.000, -16.357, 147.522, -122.192
-1.192, -4.000, -4.000, -46.936, 71.411, -60.181
-1.255, -4.000, -4.000, -54.688, -14.526, 6.348
-1.507, -3.986, -4.000, -70.312, -104.614, 70.374
-1.983, -2.885, -4.000, -92.529, -196.533, 122.253
-2.444, -1.699, -4.000, -97.168, -283.508, 155.640
-2.934, -0.664, -4.000, -87.036, -363.647, 171.265
-3.386, 0.043, -3.741, -86.792, -430.786, 169.983
-3.799, 0.618, -2.598, -96.558, -484.741, 163.208
-4.000, 0.711, -1.315, -98.633, -528.198, 148.499
-4.000, 0.709, 0.317, -98.633, -559.265, 137.939
-3.917, 0.909, 2.380, -96.985, -574.463, 134.399
-3.445, 1.234, 4.000, -87.891, -565.186, 133.240
-2.769, 1.579, 4.000, -73.547, -525.085, 126.465
-2.029, 2.031, 4.000, -51.636, -460.938, 116.455
-1.364, 2.343, 4.000, -29.480, -383.240, 97.107
-0.869, 2.473, 4.000, -11.475, -304.993, 69.885
-0.500, 2.207, 4.000, -3.723, -235.352, 36.072
-0.319, 1.469, 4.000, -11.292, -179.199, 1.953
-0.201, 0.688, 3.919, -18.738, -139.832, -19.775
