ax,ay,az,gx,gy,gz
-0.319, 0.272, 2.721, -2.319, -8.850, 55.786
-0.329, 0.407, 2.768, 6.775, 0.549, 55.664
-0.352, 0.473, 2.884, 13.855, 10.254, 53.101
-0.369, 0.535, 3.068, 15.869, 21.057, 50.781
-0.407, 0.568, 3.285, 15.686, 34.546, 48.340
-0.486, 0.560, 3.534, 15.320, 51.453, 45.776
-0.577, 0.569, 3.697, 14.587, 73.608, 44.250
-0.698, 0.554, 3.686, 7.568, 100.159, 43.030
-0.778, 0.761, 3.453, -5.554, 128.540, 43.701
-0.872, 1.229, 3.188, -14.954, 153.992, 45.227
-0.943, 1.539, 2.980, -17.639, 175.232, 36.377
-1.011, 1.657, 2.814, -19.531, 194.275, 20.996
-1.101, 1.728, 2.813, -21.606, 210.999, 5.493
-1.221, 1.841, 2.902, -23.376, 228.027, -8.362
-1.408, 1.855, 2.865, -26.733, 249.329, -24.658
-1.609, 1.846, 2.614, -31.006, 273.071, -41.260
-1.811, 2.048, 2.174, -35.645, 296.509, -55.481
-1.993, 2.182, 1.525, -43.396, 316.895, -74.829
-2.088, 2.001, 0.747, -52.856, 330.444, -101.929
-2.129, 1.823, 0.037, -59.387, 334.167, -126.404
-2.106, 1.641, -0.590, -63.904, 328.369, -147.522
-2.054, 1.426, -0.953, -69.336, 313.904, -167.114
-1.975, 1.155, -1.085, -72.815, 294.678, -184.998
-1.874, 0.805, -1.174, -72.632, 276.001, -200.256
-1.764, 0.370, -1.380, -71.045, 259.827, -211.548
-1.630, 0.093, -1.669, -72.754, 243.835, -215.637
-1.469, -0.079, -2.059, -80.750, 224.976, -214.722
-1.286, -0.181, -2.503, -94.788, 201.172, -213.135
-1.100, -0.194, -2.906, -106.445, 169.983, -210.388
-0.921, -0.079, -3.120, -116.699, 132.080, -207.947
-0.830, 0.088, -3.083, -124.023, 89.661, -207.153
-0.811, 0.092, -2.810, -122.986, 45.532, -212.891
-0.826, -0.158, -2.592, -115.173, 6.226, -221.375
-0.832, -0.531, -2.529, -106.567, -27.771, -227.539
-0.826, -0.997, -2.430, -99.304, -61.157, -228.638
-0.854, -1.541, -2.155, -91.797, -94.849, -224.426
-0.869, -2.192, -1.700, -82.886, -125.977, -215.027
-0.863, -2.752, -1.183, -72.083, -151.306, -195.496
-0.844, -3.120, -0.713, -62.866, -169.373, -166.809
-0.830, -3.337, -0.255, -59.204, -181.274, -134.216
-0.817, -3.344, 0.153, -61.646, -187.500, -98.938
-0.836, -3.304, 0.375, -67.505, -187.805, -65.369
-0.840, -3.338, 0.325, -71.594, -185.242, -35.583
-0.873, -3.467, 0.249, -69.458, -185.425, -7.996
-0.952, -3.661, 0.262, -57.312, -190.918, 20.020
-1.014, -3.983, 0.418, -41.870, -198.975, 50.537
-1.148, -4.000, 0.743, -26.062, -208.069, 87.463
-1.280, -4.000, 1.111, -4.456, -215.149, 131.958
-1.454, -4.000, 1.474, 28.076, -219.421, 174.500
-1.661, -4.000, 1.780, 66.711, -221.680, 216.492
-1.875, -3.915, 2.095, 99.670, -223.083, 261.047
-2.136, -3.575, 2.596, 128.601, -225.281, 307.068
-2.359, -2.867, 3.327, 148.621, -225.952, 353.577
-2.472, -1.675, 3.989, 159.485, -218.445, 395.264
-2.457, -0.348, 4.000, 141.052, -198.486, 420.776
-2.263, 1.208, 4.000, 106.873, -167.419, 428.772
-1.936, 3.146, 4.000, 72.021, -131.287, 420.959
-1.478, 4.000, 4.000, 47.058, -94.666, 381.470
-1.034, 4.000, 4.000, 21.606, -52.185, 317.261
-0.725, 4.000, 4.000, -1.465, -3.113, 244.080
-0.571, 3.976, 4.000, -21.179, 52.795, 177.307
-0.511, 3.096, 4.000, -35.706, 110.535, 127.563
-0.487, 2.353, 3.113, -42.419, 156.372, 97.290
-0.473, 1.743, 1.962, -40.100, 184.143, 80.139
-0.402, 1.489, 0.863, -37.964, 196.777, 73.975
-0.361, 1.739, 0.025, -29.602, 193.359, 76.294
-0.223, 2.092, -0.585, -9.583, 177.612, 72.510
-0.137, 2.352, -0.935, 8.423, 155.334, 59.937
-0.053, 2.470, -0.993, 24.109, 128.479, 40.527
-0.010, 2.456, -0.890, 30.090, 103.149, 18.066
-0.021, 2.327, -0.743, 26.733, 82.031, -5.249
-0.047, 2.102, -0.629, 19.287, 65.247, -28.625
-0.084, 1.763, -0.560, 12.817, 51.270, -50.842
-0.109, 1.358, -0.517, 8.362, 38.757, -69.458
-0.131, 0.979, -0.454, 6.104, 26.855, -81.848
-0.148, 0.793, -0.435, 3.906, 15.808, -87.280
-0.162, 0.851, -0.466, 2.930, 4.883, -87.830
-0.192, 0.984, -0.458, 7.751, -6.836, -90.637
-0.224, 1.072, -0.466, 18.005, -19.531, -98.328
-0.251, 1.002, -0.434, 29.968, -33.325, -109.924
-0.273, 0.943, -0.322, 35.095, -47.119, -120.544
-0.310, 0.875, -0.159, 27.039, -59.570, -129.944
-0.350, 0.754, -0.031, 9.705, -69.214, -139.465
-0.401, 0.680, -0.000, -6.775, -77.087, -146.362
-0.443, 0.766, 0.064, -18.738, -85.693, -150.635
-0.506, 0.816, 0.218, -24.170, -95.154, -157.410
-0.552, 0.854, 0.431, -23.376, -103.516, -166.199
-0.558, 0.903, 0.607, -20.203, -108.521, -175.903
-0.592, 0.981, 0.675, -19.043, -111.206, -186.340
