ax,ay,az,dx,dy,dz,x,y,z
-8.105, 2.084, 23.278, -0.176, -0.683, 0.814, -0.000, 0.000, 0.001
-8.282, 2.625, 28.276, -0.121, -0.635, 0.952, -0.001, 0.000, 0.003
-8.572, 3.989, 29.671, -0.085, -0.452, 0.992, -0.002, 0.001, 0.006
-9.474, 6.846, 29.671, -0.014, -0.208, 0.923, -0.002, 0.001, 0.008
-9.888, 11.735, 29.671, -0.009, 0.023, 1.050, -0.003, 0.002, 0.010
-10.806, 16.931, 29.671, 0.004, 0.281, 0.872, -0.004, 0.003, 0.012
-11.972, 21.293, 29.671, 0.059, 0.575, 0.729, -0.005, 0.004, 0.014
-13.177, 23.881, 29.671, 0.089, 1.008, 0.567, -0.006, 0.006, 0.016
-14.613, 23.439, 29.671, 0.134, 1.369, 0.251, -0.007, 0.008, 0.019
-16.188, 17.840, 29.671, 0.170, 1.496, -0.076, -0.008, 0.009, 0.021
-18.005, 11.671, 26.043, 0.225, 1.930, -0.330, -0.009, 0.010, 0.023
-19.397, 6.646, 22.794, 0.188, 1.898, -0.411, -0.011, 0.011, 0.024
-21.105, 3.011, 21.047, 0.151, 2.059, -0.457, -0.012, 0.011, 0.026
-23.143, 1.053, 19.552, 0.152, 2.496, -0.512, -0.014, 0.011, 0.027
-25.135, 0.963, 16.609, 0.179, 2.691, -0.472, -0.016, 0.011, 0.029
-27.161, 1.999, 12.290, 0.214, 2.570, -0.383, -0.017, 0.011, 0.029
-28.739, 2.611, 6.696, 0.289, 2.777, -0.370, -0.019, 0.011, 0.030
-29.955, 2.641, 0.804, 0.308, 4.100, -0.422, -0.022, 0.012, 0.030
-29.968, 3.437, -5.893, 0.704, 2.755, -0.417, -0.024, 0.012, 0.030
-28.774, 4.530, -12.689, 0.617, 2.549, -0.376, -0.026, 0.012, 0.029
-27.155, 5.136, -18.163, 0.622, 2.839, -0.463, -0.028, 0.013, 0.028
-25.370, 5.488, -21.222, 0.515, 2.728, -0.521, -0.030, 0.013, 0.026
-23.681, 4.948, -21.859, 0.371, 2.293, -0.543, -0.032, 0.013, 0.024
-22.233, 2.964, -21.219, 0.345, 2.165, -0.629, -0.033, 0.014, 0.023
-21.522, -0.142, -20.328, -0.365, 2.314, -0.777, -0.035, 0.014, 0.021
-20.665, -1.481, -21.061, -0.243, 1.978, -0.682, -0.036, 0.013, 0.020
-19.786, -0.680, -23.933, -0.215, 2.154, -0.705, -0.038, 0.013, 0.018
-18.081, 1.333, -28.687, 0.628, 2.063, -0.666, -0.039, 0.014, 0.016
-16.180, 2.626, -33.781, 0.596, 1.711, -0.597, -0.040, 0.014, 0.014
-14.083, 2.448, -38.629, 0.770, 1.733, -0.718, -0.042, 0.014, 0.011
-11.755, 1.071, -42.978, 0.775, 1.325, -0.678, -0.042, 0.014, 0.008
-9.184, -1.407, -47.466, 0.105, 1.216, -0.792, -0.043, 0.014, 0.004
-6.711, -4.967, -48.799, 0.059, 0.802, -0.707, -0.044, 0.014, 0.001
-4.730, -9.222, -48.799, 0.087, 0.545, -0.752, -0.044, 0.013, -0.003
-3.023, -14.298, -48.799, 0.078, 0.138, -0.577, -0.044, 0.012, -0.006
-2.473, -16.710, -48.799, -0.043, -0.266, -0.460, -0.044, 0.011, -0.010
-3.151, -18.996, -48.799, -0.152, -0.640, -0.207, -0.045, 0.010, -0.013
-5.535, -20.069, -48.799, -0.208, -1.085, 0.013, -0.045, 0.008, -0.016
-9.464, -20.259, -48.799, -0.237, -1.743, 0.289, -0.046, 0.007, -0.020
-14.589, -17.482, -48.799, -0.337, -2.259, 0.598, -0.047, 0.005, -0.024
-20.454, -13.333, -48.799, -0.425, -2.435, 0.782, -0.048, 0.004, -0.027
-26.379, -10.619, -46.938, -0.583, -3.180, 1.097, -0.050, 0.003, -0.031
-32.442, -8.058, -40.330, -0.533, -3.155, 1.141, -0.052, 0.003, -0.034
-37.844, -3.591, -34.544, -0.568, -3.860, 1.476, -0.055, 0.003, -0.036
-39.999, 1.357, -29.169, 0.273, -3.681, 1.430, -0.058, 0.003, -0.038
-39.999, 4.841, -19.685, 0.457, -4.437, 1.649, -0.061, 0.003, -0.040
-39.999, 6.387, -6.553, 0.645, -4.819, 1.601, -0.064, 0.003, -0.041
-39.999, 5.621, 10.789, 0.464, -3.927, 1.338, -0.067, 0.004, -0.040
-39.999, 1.592, 29.477, 0.544, -4.015, 1.232, -0.069, 0.004, -0.039
-39.999, -1.573, 29.671, 0.397, -4.321, 1.336, -0.072, 0.004, -0.036
-35.928, -1.963, 29.671, -0.056, -3.480, 1.250, -0.075, 0.004, -0.034
-29.758, 1.222, 29.671, -0.449, -3.382, 1.571, -0.077, 0.004, -0.032
-24.186, 11.719, 29.671, -0.476, -2.472, 1.577, -0.079, 0.004, -0.030
-18.394, 23.354, 29.671, -0.332, -2.150, 1.817, -0.080, 0.006, -0.028
-13.424, 33.314, 29.671, -0.047, -1.508, 1.623, -0.082, 0.009, -0.025
-10.642, 37.171, 29.671, 0.164, -0.763, 1.081, -0.082, 0.011, -0.023
-7.798, 34.524, 29.671, 0.223, -0.256, 0.703, -0.083, 0.014, -0.021
-7.070, 25.082, 29.671, 0.249, 0.223, 0.183, -0.083, 0.016, -0.019
-7.037, 16.935, 29.671, 0.310, 0.665, -0.106, -0.084, 0.017, -0.017
-7.743, 12.082, 29.671, 0.256, 0.922, -0.232, -0.085, 0.018, -0.015
-9.235, 9.068, 29.671, 0.283, 1.372, -0.350, -0.085, 0.019, -0.012
-10.999, 6.072, 29.671, 0.258, 1.476, -0.378, -0.086, 0.019, -0.010
-12.949, 3.096, 29.671, 0.336, 1.925, -0.477, -0.087, 0.019, -0.008
-15.096, 0.992, 29.671, 0.363, 1.932, -0.434, -0.088, 0.019, -0.006
-17.433, -0.243, 25.771, 0.439, 2.133, -0.411, -0.089, 0.019, -0.004
-19.798, -0.577, 19.920, 0.567, 2.604, -0.419, -0.091, 0.019, -0.003
-21.937, -0.831, 13.507, 0.590, 2.794, -0.377, -0.092, 0.019, -0.002
-23.870, -0.264, 7.162, 0.515, 2.662, -0.300, -0.094, 0.019, -0.001
-25.860, 1.577, 1.264, 0.580, 3.562, -0.307, -0.096, 0.020, -0.001
-26.392, 3.808, -5.937, 0.747, 2.350, -0.283, -0.098, 0.020, -0.001
-25.764, 5.345, -12.588, 0.780, 2.722, -0.372, -0.100, 0.020, -0.002
-24.495, 5.965, -17.570, 0.683, 2.666, -0.472, -0.102, 0.021, -0.003
-22.978, 4.350, -21.204, 0.562, 2.268, -0.538, -0.103, 0.021, -0.005
-21.913, 0.326, -23.900, 0.605, 2.140, -0.642, -0.105, 0.021, -0.006
-20.373, 0.237, -25.164, 0.696, 2.242, -0.752, -0.106, 0.021, -0.008
-18.012, -2.463, -26.858, 0.075, 2.079, -0.767, -0.108, 0.021, -0.010
-16.893, -3.714, -28.447, 0.203, 1.696, -0.630, -0.109, 0.021, -0.012
-15.344, -2.061, -30.327, 0.279, 1.545, -0.541, -0.110, 0.020, -0.014
-13.540, 0.528, -31.700, 1.088, 1.564, -0.522, -0.111, 0.020, -0.017
-12.797, -0.178, -33.045, 0.342, 1.228, -0.476, -0.112, 0.020, -0.019
-11.390, -1.000, -34.318, 0.457, 1.196, -0.518, -0.113, 0.020, -0.022
-10.175, -2.913, -35.790, 0.484, 1.005, -0.511, -0.114, 0.020, -0.024
-8.914, -4.886, -37.968, 0.480, 0.713, -0.426, -0.114, 0.020, -0.027
-8.254, -7.405, -41.416, 0.560, 0.587, -0.428, -0.115, 0.019, -0.030
-6.421, -6.477, -44.763, 0.339, 0.302, -0.294, -0.115, 0.019, -0.033
-6.003, -9.188, -48.798, 0.362, 0.056, -0.287, -0.116, 0.018, -0.037
-5.905, -9.342, -48.799, 0.248, -0.249, -0.184, -0.116, 0.018, -0.040
-6.273, -10.159, -48.799, 0.079, -0.660, -0.136, -0.117, 0.017, -0.044
-8.458, -12.948, -48.799, 0.088, -0.977, -0.070, -0.117, 0.016, -0.047
-11.261, -16.630, -48.799, 0.248, -1.597, -0.004, -0.118, 0.015, -0.051
-15.911, -20.963, -48.799, 0.287, -1.890, 0.106, -0.119, 0.013, -0.054
-22.114, -25.211, -48.799, 0.232, -2.679, 0.302, -0.121, 0.011, -0.058
-30.084, -27.067, -48.799, -0.000, -2.866, 0.516, -0.123, 0.010, -0.061
-37.868, -28.126, -48.749, -0.299, -3.718, 0.931, -0.126, 0.007, -0.065
-39.999, -27.481, -40.290, -0.548, -3.680, 1.192, -0.128, 0.006, -0.068
-39.999, -23.865, -29.943, -0.930, -4.493, 1.822, -0.131, 0.004, -0.070
-39.999, -15.690, -16.472, -0.914, -4.289, 2.098, -0.134, 0.003, -0.072
-39.999, -2.709, -1.319, -0.932, -5.796, 2.848, -0.137, 0.002, -0.072
-39.999, 13.009, 15.546, -0.256, -4.755, 3.158, -0.140, 0.003, -0.071
-39.999, 28.810, 29.671, 0.163, -4.256, 2.822, -0.143, 0.005, -0.069
-39.999, 37.045, 29.671, 0.616, -4.090, 2.510, -0.145, 0.007, -0.067
-39.999, 38.984, 29.671, 0.983, -4.259, 2.211, -0.149, 0.010, -0.065
-34.561, 33.645, 29.671, 0.877, -3.726, 1.559, -0.152, 0.013, -0.062
-24.292, 26.254, 29.671, 0.509, -2.706, 0.900, -0.153, 0.015, -0.061
-16.301, 19.130, 29.671, 0.148, -2.295, 0.662, -0.155, 0.016, -0.058
-10.998, 16.514, 29.671, -0.312, -1.379, 0.429, -0.155, 0.017, -0.056
-8.051, 19.669, 29.671, -0.587, -0.824, 0.356, -0.156, 0.019, -0.054
-6.374, 24.449, 29.671, -0.717, -0.456, 0.279, -0.156, 0.021, -0.052
-5.584, 24.340, 29.670, -0.618, -0.114, 0.012, -0.157, 0.023, -0.050
-4.336, 19.421, 18.476, -0.405, 0.091, -0.275, -0.157, 0.024, -0.048
-3.781, 11.432, 8.255, -0.240, 0.156, -0.520, -0.158, 0.025, -0.048
-3.025, 2.404, 1.979, -0.116, 0.143, -0.739, -0.158, 0.025, -0.047
-2.655, -4.381, -0.835, -0.583, -0.302, -0.745, -0.158, 0.025, -0.047
-1.980, -9.545, -1.766, -0.476, -0.286, -0.560, -0.158, 0.024, -0.047
-1.935, -10.557, -1.470, -0.566, -0.405, -0.435, -0.158, 0.023, -0.048
-1.927, -9.286, -1.346, -0.474, -0.423, -0.196, -0.158, 0.023, -0.048
-2.244, -5.777, -0.271, -0.895, -0.765, -0.042, -0.159, 0.022, -0.048
-2.536, -1.619, 1.403, -0.012, -0.244, 0.069, -0.159, 0.022, -0.048
-2.753, 1.749, 2.899, 0.106, -0.312, 0.114, -0.159, 0.022, -0.047

-3.935, 10.922, 17.798, -0.188, -0.012, 0.047, -0.000, 0.001, 0.001
-4.321, 12.875, 20.945, -0.146, 0.050, 0.010, -0.000, 0.001, 0.002
-4.792, 14.451, 24.107, -0.103, 0.153, -0.056, -0.001, 0.003, 0.004
-5.558, 14.540, 27.278, -0.050, 0.274, -0.170, -0.001, 0.004, 0.006
-6.467, 14.201, 29.671, -0.003, 0.379, -0.259, -0.002, 0.005, 0.008
-7.470, 13.251, 29.671, 0.001, 0.549, -0.370, -0.002, 0.005, 0.010
-8.797, 10.634, 29.671, -0.025, 0.846, -0.553, -0.003, 0.006, 0.012
-10.348, 7.656, 29.671, -0.070, 1.099, -0.659, -0.004, 0.007, 0.015
-12.243, 6.334, 29.671, -0.141, 1.220, -0.633, -0.004, 0.007, 0.017
-14.309, 5.970, 29.671, -0.311, 1.646, -0.754, -0.006, 0.008, 0.019
-16.284, 5.609, 26.566, -0.475, 1.681, -0.730, -0.007, 0.008, 0.021
-18.282, 4.874, 22.213, -0.755, 2.098, -0.915, -0.008, 0.009, 0.023
-19.984, 3.315, 17.663, -0.907, 2.273, -1.025, -0.010, 0.009, 0.024
-21.588, 1.004, 12.379, -0.861, 2.159, -1.004, -0.011, 0.009, 0.025
-22.421, -1.660, 6.425, -0.850, 2.309, -1.075, -0.012, 0.009, 0.026
-22.875, -3.978, 1.122, -0.821, 3.120, -1.245, -0.014, 0.009, 0.026
-22.653, -6.075, -3.903, -1.126, 2.125, -1.236, -0.016, 0.008, 0.026
-22.428, -5.942, -5.921, -1.037, 1.924, -1.060, -0.018, 0.008, 0.025
-21.631, -7.160, -9.788, -1.073, 1.947, -1.036, -0.019, 0.007, 0.025
-21.235, -6.738, -12.105, -1.256, 2.148, -1.132, -0.021, 0.007, 0.024
-20.505, -7.149, -14.257, -1.276, 2.089, -1.111, -0.022, 0.006, 0.023
-20.024, -7.687, -16.896, -1.137, 1.799, -0.966, -0.024, 0.006, 0.021
-19.201, -5.895, -20.805, -1.182, 1.737, -0.912, -0.025, 0.005, 0.020
-18.136, -2.374, -26.146, -1.423, 1.860, -0.985, -0.026, 0.005, 0.018
-16.989, 1.225, -31.837, -0.697, 1.711, -1.014, -0.028, 0.005, 0.016
-15.358, 2.557, -37.029, -0.591, 1.324, -1.002, -0.029, 0.005, 0.013
-13.604, 2.887, -41.297, -0.536, 1.213, -1.265, -0.030, 0.006, 0.010
-11.943, -0.464, -44.178, -1.027, 0.791, -1.265, -0.031, 0.006, 0.007
-9.931, -6.615, -46.308, -0.976, 0.540, -1.526, -0.031, 0.005, 0.004
-7.966, -13.574, -47.591, -0.789, 0.166, -1.353, -0.032, 0.004, 0.001
-6.473, -20.280, -47.894, -0.829, -0.178, -1.395, -0.033, 0.003, -0.003
-5.522, -25.815, -48.054, -0.707, -0.474, -1.022, -0.033, 0.001, -0.006
-5.346, -28.703, -48.187, -0.799, -0.887, -0.796, -0.033, -0.001, -0.010
-6.326, -28.704, -47.637, -0.741, -1.101, -0.330, -0.034, -0.003, -0.013
-8.283, -24.861, -45.620, -0.960, -1.584, 0.072, -0.034, -0.005, -0.017
-11.021, -18.982, -43.173, -1.022, -1.696, 0.426, -0.035, -0.006, -0.020
-14.065, -12.952, -40.907, -1.328, -2.201, 0.804, -0.036, -0.007, -0.023
-17.520, -8.653, -38.335, -1.433, -2.477, 1.036, -0.038, -0.008, -0.026
-21.075, -5.122, -35.292, -1.284, -2.438, 1.089, -0.039, -0.008, -0.029
