ax,ay,az,dx,dy,dz,x,y,z
-7.167, 7.648, 15.383, -0.226, 0.726, 0.194, -0.000, 0.001, 0.001
-7.571, 8.420, 15.124, -0.160, 0.745, 0.141, -0.001, 0.001, 0.002
-8.390, 9.407, 14.430, -0.180, 0.956, 0.110, -0.002, 0.002, 0.003
-8.748, 9.233, 13.796, -0.126, 0.950, 0.037, -0.002, 0.002, 0.004
-9.359, 9.307, 12.551, -0.105, 1.185, -0.014, -0.003, 0.003, 0.005
-10.036, 9.724, 11.626, -0.042, 1.151, -0.051, -0.004, 0.004, 0.006
-10.902, 9.809, 9.915, 0.006, 1.238, -0.099, -0.004, 0.004, 0.007
-11.758, 9.744, 8.214, -0.042, 1.488, -0.168, -0.005, 0.005, 0.007
-12.518, 11.438, 6.759, -0.168, 1.571, -0.213, -0.006, 0.006, 0.008
-13.847, 13.706, 8.204, -0.158, 1.437, -0.241, -0.007, 0.007, 0.008
-13.944, 14.304, 6.555, -0.025, 1.707, -0.348, -0.008, 0.008, 0.009
-15.181, 19.011, 5.539, -0.059, 1.616, -0.388, -0.009, 0.009, 0.009
-16.008, 19.620, 3.247, -0.207, 1.971, -0.601, -0.010, 0.011, 0.009
-16.427, 19.791, 0.844, -0.640, 2.161, -0.722, -0.011, 0.012, 0.010
-17.597, 19.136, -0.675, 0.868, 0.950, -1.011, -0.013, 0.014, 0.010
-18.691, 18.934, -2.916, 0.181, 1.330, -1.069, -0.014, 0.015, 0.009
-19.351, 19.220, -5.679, -0.024, 1.614, -1.399, -0.016, 0.016, 0.009
-20.031, 18.314, -8.394, -0.169, 1.641, -1.624, -0.017, 0.018, 0.008
-20.415, 15.910, -10.610, -0.249, 1.440, -1.658, -0.019, 0.019, 0.008
-20.614, 13.168, -12.499, -0.339, 1.396, -1.841, -0.020, 0.020, 0.007
-20.209, 11.116, -13.961, -0.524, 1.502, -2.243, -0.022, 0.021, 0.006
-20.088, 8.680, -14.584, -0.648, 1.408, -2.392, -0.023, 0.021, 0.005
-19.736, 5.954, -14.967, -0.634, 1.164, -2.248, -0.024, 0.022, 0.004
-19.164, 4.566, -16.917, -0.686, 1.218, -2.614, -0.026, 0.022, 0.002
-19.171, 4.762, -20.386, -0.534, 0.994, -2.369, -0.027, 0.023, 0.001
-18.348, 6.211, -25.625, -0.571, 0.993, -2.735, -0.029, 0.023, -0.001
-17.449, 7.505, -31.325, -0.448, 0.721, -2.528, -0.030, 0.024, -0.003
-16.508, 4.996, -36.811, -0.415, 0.575, -3.037, -0.031, 0.024, -0.006
-15.455, -3.007, -40.494, -1.036, 0.255, -2.887, -0.032, 0.024, -0.008
-14.157, -13.183, -44.247, -0.988, -0.041, -3.361, -0.033, 0.023, -0.012
-12.482, -23.888, -46.754, -0.738, -0.345, -2.942, -0.034, 0.022, -0.015
-11.106, -32.780, -47.206, -0.725, -0.762, -3.103, -0.035, 0.019, -0.019
-10.173, -39.252, -45.834, -0.593, -1.015, -2.464, -0.036, 0.017, -0.022
-9.614, -39.265, -44.106, -0.680, -1.502, -2.344, -0.037, 0.013, -0.025
-9.957, -39.265, -40.184, -0.727, -1.645, -1.639, -0.037, 0.011, -0.028
-11.061, -39.265, -33.355, -0.956, -2.179, -1.320, -0.038, 0.008, -0.031
-12.840, -39.265, -24.346, -0.915, -2.183, -0.732, -0.039, 0.005, -0.032
-14.322, -39.265, -15.020, -1.040, -2.649, -0.402, -0.040, 0.002, -0.034
-15.617, -39.265, -6.775, -0.932, -2.494, -0.025, -0.041, -0.000, -0.034
-16.548, -39.265, 1.748, 0.135, -2.268, 0.342, -0.042, -0.004, -0.034
-17.169, -39.265, 9.414, -0.182, -2.224, 0.647, -0.043, -0.006, -0.034
-17.391, -39.265, 15.647, -0.132, -2.424, 1.138, -0.045, -0.009, -0.032
-17.808, -39.265, 20.664, -0.016, -2.016, 1.402, -0.046, -0.012, -0.031
-18.952, -39.265, 22.761, 0.127, -2.064, 2.039, -0.047, -0.015, -0.029
-20.663, -39.265, 23.216, 0.218, -1.643, 2.270, -0.049, -0.018, -0.028
-23.177, -38.762, 23.074, 0.322, -1.650, 3.101, -0.051, -0.021, -0.026
-26.106, -30.075, 24.375, 0.230, -1.312, 3.208, -0.052, -0.023, -0.024
-29.103, -21.459, 27.963, 0.155, -1.306, 4.018, -0.055, -0.025, -0.022
-31.451, -13.078, 29.671, 0.188, -1.117, 4.332, -0.057, -0.026, -0.020
-33.230, -3.271, 29.671, 0.312, -0.811, 4.066, -0.059, -0.026, -0.018
-33.697, 7.043, 29.671, 0.568, -0.656, 4.711, -0.062, -0.026, -0.016
-33.393, 15.738, 29.671, 0.601, -0.324, 4.176, -0.064, -0.025, -0.014
-32.536, 21.997, 29.671, 0.564, -0.050, 4.548, -0.067, -0.023, -0.011
-31.181, 27.264, 29.671, 0.244, 0.258, 3.850, -0.069, -0.021, -0.009
-28.994, 30.806, 29.671, 0.041, 0.651, 4.049, -0.071, -0.019, -0.007
-26.457, 35.533, 21.574, -0.047, 0.858, 3.335, -0.073, -0.017, -0.006
-23.396, 39.205, 13.503, 0.034, 1.182, 3.429, -0.075, -0.014, -0.004
-20.024, 39.205, 8.083, 0.220, 1.157, 2.732, -0.076, -0.011, -0.004
-16.269, 39.205, 5.483, 0.518, 1.338, 2.684, -0.077, -0.008, -0.003
-13.617, 39.205, 5.180, 0.693, 1.164, 1.909, -0.078, -0.005, -0.003
-11.564, 39.205, 4.881, 0.852, 1.300, 1.399, -0.079, -0.002, -0.002
-10.749, 39.205, 3.064, 0.502, 1.227, 0.477, -0.080, 0.000, -0.002
-11.026, 39.205, -0.503, 2.934, 0.470, -0.261, -0.081, 0.003, -0.002
-11.871, 39.205, -4.644, 0.816, 0.938, -0.807, -0.082, 0.006, -0.002
-12.944, 37.078, -8.202, 0.573, 1.100, -1.388, -0.083, 0.009, -0.003
-13.993, 30.204, -11.505, 0.237, 0.969, -1.572, -0.084, 0.011, -0.004
-14.799, 24.298, -14.550, -0.015, 1.045, -2.090, -0.085, 0.013, -0.005
-15.382, 18.855, -17.739, -0.213, 0.857, -2.100, -0.086, 0.014, -0.006
-15.071, 14.139, -21.775, -0.385, 0.843, -2.587, -0.087, 0.016, -0.008
-13.957, 10.179, -27.479, -0.395, 0.676, -2.752, -0.088, 0.016, -0.010
-13.150, 6.741, -32.964, -0.300, 0.396, -2.555, -0.089, 0.017, -0.012
-12.604, 4.887, -37.062, -0.254, 0.142, -2.941, -0.090, 0.017, -0.015
-13.061, 4.436, -38.868, -0.154, -0.188, -2.648, -0.091, 0.018, -0.017
-14.604, 4.393, -40.516, -0.103, -0.518, -2.690, -0.092, 0.018, -0.020
-16.738, 5.293, -41.030, -0.121, -0.975, -3.077, -0.093, 0.018, -0.023
-19.545, 7.286, -38.730, -0.299, -1.388, -3.139, -0.095, 0.019, -0.026
-23.377, 7.939, -32.688, -0.482, -1.608, -2.885, -0.096, 0.019, -0.029
-26.887, 5.831, -23.875, -0.837, -2.203, -3.380, -0.098, 0.020, -0.031
-29.691, 3.248, -14.215, -0.970, -2.279, -3.072, -0.100, 0.020, -0.032
-32.366, 0.144, -4.842, -1.177, -2.980, -3.476, -0.103, 0.020, -0.032
-33.611, -2.092, 4.870, -1.385, -2.201, -3.055, -0.105, 0.020, -0.032
-34.250, -4.300, 13.476, -1.259, -2.694, -3.382, -0.107, 0.020, -0.031
-33.705, -6.961, 20.228, -0.713, -2.388, -2.965, -0.110, 0.019, -0.030
-31.308, -12.341, 27.190, -0.367, -2.575, -3.335, -0.112, 0.018, -0.028
-28.234, -22.424, 29.671, 0.073, -2.112, -2.967, -0.114, 0.017, -0.026
-23.596, -35.584, 29.671, 0.420, -2.069, -3.238, -0.116, 0.014, -0.023
-17.412, -39.265, 29.671, 0.441, -1.461, -2.596, -0.117, 0.012, -0.021
-11.573, -39.265, 29.671, 0.322, -1.142, -2.311, -0.118, 0.009, -0.019
-8.090, -39.265, 29.671, -0.001, -0.580, -1.365, -0.119, 0.006, -0.017
-6.223, -35.586, 29.624, -0.364, -0.241, -0.802, -0.119, 0.003, -0.015
-5.622, -22.843, 22.028, -0.503, 0.034, -0.287, -0.120, 0.002, -0.013
-5.213, -10.923, 12.874, -0.552, 0.211, -0.083, -0.120, 0.001, -0.012
-4.667, -2.570, 4.457, -0.328, 0.251, -0.037, -0.120, 0.000, -0.012
-3.930, 2.006, -2.321, 0.223, -0.022, -0.151, -0.121, 0.000, -0.012
-3.141, 2.220, -6.622, 0.356, -0.095, -0.306, -0.121, 0.001, -0.012
-2.538, -0.705, -8.068, -0.296, -0.245, -0.543, -0.121, 0.001, -0.013
-2.056, -5.314, -6.904, -0.230, -0.383, -0.680, -0.121, 0.000, -0.013
-1.792, -9.654, -4.368, -0.236, -0.435, -0.639, -0.121, -0.000, -0.014
-1.471, -12.313, -1.305, -0.477, -0.488, -0.591, -0.122, -0.001, -0.014
-1.336, -13.225, 1.498, 0.197, -0.299, -0.551, -0.122, -0.002, -0.014
-1.212, -12.825, 3.772, -0.041, -0.279, -0.420, -0.122, -0.003, -0.013
-1.266, -11.532, 5.455, -0.109, -0.223, -0.261, -0.122, -0.004, -0.013
-1.414, -9.980, 6.421, -0.121, -0.214, -0.188, -0.122, -0.005, -0.013
-1.547, -8.167, 6.315, -0.072, -0.150, -0.092, -0.122, -0.005, -0.012
-1.620, -6.238, 5.087, -0.044, -0.125, -0.043, -0.122, -0.006, -0.012
-1.651, -4.680, 3.266, -0.015, -0.089, -0.012, -0.122, -0.006, -0.012
-1.562, -3.429, 1.593, 0.016, -0.098, -0.005, -0.122, -0.006, -0.011
-1.512, -2.313, 0.560, 0.073, -0.043, -0.007, -0.123, -0.007, -0.011
-1.489, -1.545, 0.499, 0.006, -0.052, -0.020, -0.123, -0.007, -0.011
-1.589, -1.311, 1.277, -0.107, -0.115, -0.038, -0.123, -0.007, -0.011
-1.642, -1.311, 2.629, -0.159, -0.130, -0.067, -0.123, -0.007, -0.011
-1.771, -1.462, 3.873, -0.157, -0.102, -0.076, -0.123, -0.007, -0.011
-1.875, -2.061, 4.398, -0.192, -0.089, -0.103, -0.123, -0.007, -0.011
-1.991, -3.027, 4.327, -0.171, -0.052, -0.099, -0.123, -0.007, -0.010
-2.054, -3.386, 3.774, -0.172, -0.033, -0.096, -0.123, -0.008, -0.010
-2.006, -3.077, 2.935, -0.135, -0.011, -0.067, -0.124, -0.008, -0.010
-2.000, -2.510, 2.086, -0.080, 0.004, -0.039, -0.124, -0.008, -0.010
-2.165, -2.606, 1.252, -0.020, 0.027, -0.036, -0.124, -0.008, -0.010
-2.180, -2.750, 0.361, 0.197, 0.191, -0.037, -0.124, -0.008, -0.009

-9.541, -4.350, 16.355, -0.425, 0.222, 0.061, -0.001, -0.000, 0.001
-10.065, -5.789, 16.963, -0.335, 0.287, 0.138, -0.001, -0.001, 0.002
-10.543, -5.616, 17.038, -0.315, 0.433, 0.287, -0.002, -0.001, 0.004
-11.046, -4.519, 16.623, -0.221, 0.485, 0.377, -0.003, -0.001, 0.005
-11.491, -2.798, 16.334, -0.184, 0.655, 0.543, -0.004, -0.002, 0.006
-12.139, -1.230, 15.673, -0.113, 0.676, 0.560, -0.005, -0.002, 0.007
-12.472, 0.136, 14.547, -0.073, 0.865, 0.691, -0.006, -0.002, 0.008
-12.926, 2.032, 14.030, 0.007, 0.854, 0.660, -0.006, -0.002, 0.009
-13.328, 4.273, 13.503, 0.086, 1.052, 0.772, -0.007, -0.001, 0.010
-13.610, 5.866, 13.342, 0.116, 1.144, 0.767, -0.009, -0.001, 0.011
-14.083, 7.104, 13.432, 0.143, 1.099, 0.657, -0.009, -0.000, 0.012
-14.653, 8.802, 13.341, 0.165, 1.188, 0.630, -0.010, 0.000, 0.013
-15.155, 10.959, 13.289, 0.223, 1.442, 0.665, -0.012, 0.001, 0.014
-15.686, 13.369, 13.445, 0.251, 1.549, 0.599, -0.013, 0.002, 0.015
-16.408, 15.313, 14.374, 0.239, 1.472, 0.438, -0.014, 0.003, 0.016
-17.607, 16.085, 15.237, 0.259, 1.785, 0.349, -0.015, 0.004, 0.017
-19.113, 15.909, 15.017, 0.204, 1.727, 0.170, -0.016, 0.005, 0.018
-20.455, 13.797, 12.325, 0.179, 1.892, 0.035, -0.018, 0.006, 0.019
-22.225, 14.763, 10.932, 0.113, 2.298, -0.070, -0.020, 0.007, 0.020
-23.905, 14.167, 7.916, 0.062, 2.479, -0.189, -0.021, 0.009, 0.021
-25.245, 14.566, 4.720, -0.007, 2.390, -0.275, -0.023, 0.009, 0.021
-26.247, 15.825, 0.999, -0.321, 2.979, -0.370, -0.025, 0.010, 0.021
-26.194, 17.699, -5.328, 0.348, 2.314, -0.560, -0.027, 0.012, 0.021
